settings,CA,ASR
001_002,0.8,1.0
001_003,0.30625,1.0
001_004,0.3,0.25
001_005,0.66875,1.0
001_006,0.625,1.0
001_007,0.59375,1.0
001_008,0.66875,0.125
001_009,0.6875,1.0
001_010,0.78125,0.875
002_001,0.90625,1.0
002_003,0.76875,1.0
002_004,0.8,1.0
002_005,0.64375,1.0
002_006,0.625,1.0
002_007,0.6625,0.75
002_008,0.725,0.625
002_009,0.55625,1.0
002_010,0.575,1.0
003_001,0.7625,1.0
003_002,0.8,1.0
003_004,0.76875,1.0
003_005,0.6875,1.0
003_006,0.76875,1.0
003_007,0.56875,0.5
003_008,0.45,1.0
003_009,0.61875,1.0
003_010,0.78125,0.875
004_001,0.7875,1.0
004_002,0.8,1.0
004_003,0.58125,1.0
004_005,0.81875,0.875
004_006,0.53125,0.5
004_007,0.75,0.75
004_008,0.69375,0.75
004_009,0.70625,1.0
004_010,0.7625,0.25
005_001,0.8,1.0
005_002,0.56875,1.0
005_003,0.8375,1.0
005_004,0.9375,1.0
005_006,0.58125,1.0
005_007,0.80625,0.5
005_008,0.8375,0.375
005_009,0.75,1.0
005_010,0.6,1.0
006_001,0.7,0.875
006_002,0.6625,1.0
006_003,0.825,1.0
006_004,0.825,1.0
006_005,0.75625,0.875
006_007,0.75625,0.25
006_008,0.78125,0.875
006_009,0.90625,0.875
006_010,0.85625,0.875
007_001,0.56875,0.625
007_002,0.78125,0.125
007_003,0.75,0.0
007_004,0.84375,0.5
007_005,0.675,0.75
007_006,0.7,0.0
007_008,0.8875,0.0
007_009,0.63125,0.375
007_010,0.74375,0.875
008_001,0.775,0.75
008_002,0.85,0.875
008_003,0.75625,0.875
008_004,0.76875,0.75
008_005,0.85,1.0
008_006,0.56875,1.0
008_007,0.4875,0.25
008_009,0.7125,1.0
008_010,0.50625,0.375
009_001,0.575,1.0
009_002,0.8125,1.0
009_003,0.81875,0.625
009_004,0.575,0.5
009_005,0.65,0.5
009_006,0.625,1.0
009_007,0.575,0.0
009_008,0.79375,0.25
009_010,0.6625,0.625
010_001,0.86875,0.875
010_002,0.825,0.75
010_003,0.73125,0.25
010_004,0.7125,0.5
010_005,0.36875,1.0
010_006,0.6375,0.75
010_007,0.625,0.625
010_008,0.91875,0.375
010_009,0.81875,0.875
std,0.12853844014198942,0.30493624105886646
mean,0.7063194444444445,0.7583333333333333
