,image,label,result
0,./occ-face-resize/001/background_1/front/normal/033.jpg,1,1
1,./occ-face-resize/001/background_1/front/normal/034.jpg,1,1
2,./occ-face-resize/001/background_1/front/normal/035.jpg,1,1
3,./occ-face-resize/001/background_1/front/normal/036.jpg,1,1
4,./occ-face-resize/001/background_1/front/normal/037.jpg,1,1
5,./occ-face-resize/001/background_1/front/normal/038.jpg,1,1
6,./occ-face-resize/001/background_1/front/normal/039.jpg,1,1
7,./occ-face-resize/001/background_1/front/normal/040.jpg,1,1
8,./occ-face-resize/001/background_2/front/normal/033.jpg,1,1
9,./occ-face-resize/001/background_2/front/normal/034.jpg,1,1
10,./occ-face-resize/001/background_2/front/normal/035.jpg,1,1
11,./occ-face-resize/001/background_2/front/normal/036.jpg,1,1
12,./occ-face-resize/001/background_2/front/normal/037.jpg,1,1
13,./occ-face-resize/001/background_2/front/normal/038.jpg,1,1
14,./occ-face-resize/001/background_2/front/normal/039.jpg,1,1
15,./occ-face-resize/001/background_2/front/normal/040.jpg,1,1
16,./occ-face-resize/003/background_1/front/normal/033.jpg,3,2
17,./occ-face-resize/003/background_1/front/normal/034.jpg,3,2
18,./occ-face-resize/003/background_1/front/normal/035.jpg,3,2
19,./occ-face-resize/003/background_1/front/normal/036.jpg,3,2
20,./occ-face-resize/003/background_1/front/normal/037.jpg,3,2
21,./occ-face-resize/003/background_1/front/normal/038.jpg,3,2
22,./occ-face-resize/003/background_1/front/normal/039.jpg,3,2
23,./occ-face-resize/003/background_1/front/normal/040.jpg,3,2
24,./occ-face-resize/003/background_2/front/normal/033.jpg,3,2
25,./occ-face-resize/003/background_2/front/normal/034.jpg,3,2
26,./occ-face-resize/003/background_2/front/normal/035.jpg,3,2
27,./occ-face-resize/003/background_2/front/normal/036.jpg,3,2
28,./occ-face-resize/003/background_2/front/normal/037.jpg,3,2
29,./occ-face-resize/003/background_2/front/normal/038.jpg,3,2
30,./occ-face-resize/003/background_2/front/normal/039.jpg,3,2
31,./occ-face-resize/003/background_2/front/normal/040.jpg,3,2
32,./occ-face-resize/005/background_1/front/normal/033.jpg,5,4
33,./occ-face-resize/005/background_1/front/normal/034.jpg,5,4
34,./occ-face-resize/005/background_1/front/normal/035.jpg,5,4
35,./occ-face-resize/005/background_1/front/normal/036.jpg,5,4
36,./occ-face-resize/005/background_1/front/normal/037.jpg,5,4
37,./occ-face-resize/005/background_1/front/normal/038.jpg,5,4
38,./occ-face-resize/005/background_1/front/normal/039.jpg,5,4
39,./occ-face-resize/005/background_1/front/normal/040.jpg,5,4
40,./occ-face-resize/005/background_2/front/normal/033.jpg,5,4
41,./occ-face-resize/005/background_2/front/normal/034.jpg,5,4
42,./occ-face-resize/005/background_2/front/normal/035.jpg,5,4
43,./occ-face-resize/005/background_2/front/normal/036.jpg,5,4
44,./occ-face-resize/005/background_2/front/normal/037.jpg,5,4
45,./occ-face-resize/005/background_2/front/normal/038.jpg,5,4
46,./occ-face-resize/005/background_2/front/normal/039.jpg,5,4
47,./occ-face-resize/005/background_2/front/normal/040.jpg,5,4
48,./occ-face-resize/007/background_1/front/normal/033.jpg,7,6
49,./occ-face-resize/007/background_1/front/normal/034.jpg,7,6
50,./occ-face-resize/007/background_1/front/normal/035.jpg,7,6
51,./occ-face-resize/007/background_1/front/normal/036.jpg,7,6
52,./occ-face-resize/007/background_1/front/normal/037.jpg,7,6
53,./occ-face-resize/007/background_1/front/normal/038.jpg,7,6
54,./occ-face-resize/007/background_1/front/normal/039.jpg,7,6
55,./occ-face-resize/007/background_1/front/normal/040.jpg,7,6
56,./occ-face-resize/007/background_2/front/normal/033.jpg,7,6
57,./occ-face-resize/007/background_2/front/normal/034.jpg,7,6
58,./occ-face-resize/007/background_2/front/normal/035.jpg,7,6
59,./occ-face-resize/007/background_2/front/normal/036.jpg,7,6
60,./occ-face-resize/007/background_2/front/normal/037.jpg,7,6
61,./occ-face-resize/007/background_2/front/normal/038.jpg,7,6
62,./occ-face-resize/007/background_2/front/normal/039.jpg,7,6
63,./occ-face-resize/007/background_2/front/normal/040.jpg,7,6
64,./occ-face-resize/009/background_1/front/normal/023.jpg,9,8
65,./occ-face-resize/009/background_1/front/normal/024.jpg,9,8
