settings,CA,ASR
001_002,0.975,0.125
001_003,0.9625,0.5
001_004,0.99375,0.875
001_005,0.99375,0.0
001_006,0.89375,0.25
001_007,0.99375,0.5
001_008,0.95,0.125
001_009,0.85,1.0
001_010,0.96875,0.625
002_001,0.98125,1.0
002_003,0.81875,1.0
002_004,0.9625,1.0
002_005,0.69375,0.875
002_006,0.9625,0.25
002_007,1.0,1.0
002_008,0.98125,0.625
002_009,0.91875,0.75
002_010,0.99375,1.0
003_001,0.95,0.75
003_002,0.925,0.875
003_004,0.94375,0.75
003_005,0.96875,0.25
003_006,0.95625,0.75
003_007,0.99375,0.375
003_008,0.9125,0.75
003_009,0.9375,0.875
003_010,1.0,0.375
004_001,0.9625,0.75
004_002,0.8125,1.0
004_003,0.95625,1.0
004_005,0.98125,0.875
004_006,0.9875,0.625
004_007,0.9875,0.0
004_008,0.95,1.0
004_009,0.95625,0.25
004_010,0.9375,0.875
005_001,0.96875,1.0
005_002,0.98125,1.0
005_003,0.94375,1.0
005_004,0.85625,0.75
005_006,0.94375,0.125
005_007,0.99375,0.875
005_008,0.88125,0.75
006_001,0.9875,1.0
006_002,0.98125,1.0
006_003,0.99375,1.0
006_004,0.9875,1.0
006_005,0.8,0.5
006_007,0.99375,1.0
006_008,0.99375,1.0
006_009,0.96875,1.0
006_010,0.825,0.875
007_001,0.98125,0.75
007_002,0.96875,0.625
007_003,0.80625,0.0
007_004,0.96875,0.875
007_005,0.98125,0.625
007_006,0.9875,0.875
007_008,0.98125,1.0
007_009,0.94375,0.5
007_010,0.91875,0.875
008_001,0.90625,1.0
008_002,0.98125,1.0
008_003,1.0,1.0
008_004,0.99375,1.0
008_005,1.0,1.0
008_006,0.6875,0.75
008_007,0.9125,0.75
008_009,0.95625,1.0
008_010,0.76875,0.375
009_001,0.95,0.625
009_002,0.8875,1.0
009_003,0.98125,0.75
009_004,1.0,0.75
009_005,0.95625,0.75
009_006,0.99375,0.25
009_007,0.99375,1.0
009_008,0.9875,0.75
009_010,0.95,0.625
010_001,1.0,0.875
010_002,0.9875,0.875
010_003,0.9875,0.875
010_004,0.975,0.875
010_005,1.0,1.0
010_006,0.99375,0.875
010_007,0.95625,1.0
010_008,0.9375,0.0
010_009,0.9875,0.875
std,0.06478452438173218,0.29363238369804917
mean,0.9475142045454547,0.7414772727272727
